action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Allowing Accessory Dwelling Units By-Right,Maine,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"Chapter 672 (Public Laws, 2021) established a statewide by-right entitlement for Accessory Dwelling Units (ADUs). This meant that a property owner on a single-family lot could build one ADU without planning board approval, additional parking, or meeting dimensional requirements that are more restrictive than that of the primary dwelling. 
Local planning boards retain authority over building code and structural compliance but not over the land use decision.
",2022-04-27,2022-08-08,Housing and Other Building Construction,Fully Implemented,"https://legislature.maine.gov/legis/bills/display\_ps.asp?LD=2003&snum=130
",rec16qgNw3KNgKpFv,"Chapter 672 (Public Laws, 2021)"
Requiring Environmental Analysis in EJ Communities ,Massachusetts,Benefits for Nature/Communities,Action,Regulatory Change,"Requires an Environmental Impact Report for any proposed project located within one mile of an EJ Population, or located within five miles of an EJ Population if air quality will be impacted. 
",,,General,Fully Implemented,"https://www.mass.gov/news/massachusetts-becomes-first-state-to-require-analysis-of-cumulative-impacts-for-air-quality-permits-near-environmental-justice-populations
",,
Defining Residential Parking Stall in State Code and Prohibiting Garage Requirements for Qualifying Affordable Owner-Occupied Homes,Utah,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"SB 181 defines a residential parking stall in state code for the first time and prohibits local governments from requiring garages as a condition of building permit approval for deed-restricted, owner-occupied homes priced at or below 80% of the county median home price. 
Local governments retain authority to require on-site parking, but may not impose garage requirements for qualifying affordable units in the state's 90 largest cities and specified counties.
",2025-03-26,2025-05-07,Housing and Other Building Construction,Fully Implemented,"https://le.utah.gov/~2025/bills/static/SB0181.html
",recpCojs2l14iD8GV,"S.B 181, 2025"
Mandating Adherence to State Standardized Solar Siting,Illinois,"Promote Certainty in Permitting Process,Change Decision-Making Level",Action,Regulatory Change,"Embeds detailed siting and zoning criteria in 55 ILCS 5/5‑12020, including fixed setback distances from residences and roads, maximum allowable sound levels tied to Illinois Pollution Control Board rules, and standards for things like height and fencing. Then, the Act specifies that county standards “may not be more restrictive than” these statutory requirements, turning permit review into a compliance check against a uniform statewide baseline. 
",2023-01-27,2023-01-27,Clean Energy,Fully Implemented,"https://www.ilga.gov/documents/legislation/publicacts/102/PDF/102-1123.pdf
",recbwxc595ItIk22O,Public Act 102-1123
Allowing the Commissioner for Energy and the Environment to extend some permits beyond their expiration date,Connecticut,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"A 2025 CT Law allows the CT Commissioner for Energy and the Environment to extend the validity of general permits beyond their expiration date until a new permit is issued or a decision is made not to renew, provided that the commissioner gives notice of intent to renew at least 180 days prior to expiration. It also removes the previous requirement for a final decision on renewal to be made within twelve months after expiration, thereby offering greater flexibility.
",2025-06-23,2026-01-01,General,Unknown,"https://fastdemocracy.com/bill-search/ct/2025/bills/CTB00032231/
",reczWtrB81izVwRKr,HB 6868
Appointing a Chief Customer Experience Officer,New York,"Shift Culture,Utilize Data and Technology",Action,Other,"Creates the Chief Customer Experience Officer position to improve data-driven service delivery, standardize agency website design, increase access to public benefits, and expedite processing times.

The current office holder, Chief Tonya Webster is the first Governor-appointed Chief Customer Experience Officer in the country and has more than two decades of executive experience leading customer experience transformations for governments and the private sector.
",,2023-09-01,,,"https://www.ny.gov/new-york-experience-nyx/office-customer-experience-cx-office
",,
Online Portal for Department of Environmental Protection Permitting ,West Virginia,Utilize Data and Technology,Tool,Dashboard/Portal,"The Department of Environmental Protection Offers a Comprehensive E-permitting Dashboard to apply for and view progress of permits across all its offices.
",,,General,Fully Implemented,"https://dep.wv.gov/SearchDEP/Pages/E-Permitting-Application-Search.aspx

",,
Raising Mandatory Energy Facility Siting Council Jurisdictional Thresholds + Expanding County-level Permitting for Solar Facilities ,Oregon,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"Chapter 503 (2024 Laws) raised the acreage thresholds at which Energy Facility Siting Council jurisdiction becomes mandatory for solar facilities from 160 to 240 acres on high-value farmland. It expanded county-level permitting as the default pathway for mid-sized projects. 
Developers below the new thresholds may choose county review or opt into Energy Facility Siting Council review depending on project needs. The bill also closed a secondary barrier by requiring the Oregon Department of Transportation and counties to treat renewable energy right-of-way requests the same as utility requests.
",2024-01-01,2025-07-17,"Clean Energy,General",Fully Implemented,"https://apps.oregon.gov/oregon-newsroom/OR/GOV/Posts/Post/governor-kotek-signs-bills-to-lower-energy-costs-for-oregonians
",recNb38v3T4tkvRbU,"Chapter 503, 2024 Laws / HB 3179 (2024)"
Housing Density Overhaul in Transit-Oriented Areas,California,"Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"Chapter 512 (2025 Statutes), also known as the Abundant and Affordable Homes Near Transit Act, eliminates local zoning as a barrier to housing development near transit. This law overrules height limits, density caps, and single-family zones within half a mile of qualifying stops. 
This law expands eligibility for SB 423 ministerial review at lower affordability thresholds, meaning many SB 79 projects will qualify for CEQA-exempt ministerial approval. 
The practical significance is greatest in the Bay Area, where virtually all BART and Caltrain stations qualify as Tier 1 transit stops, and where single-family zoning adjacent to transit stations has historically prevented dense residential development despite high demand.
",2025-10-10,2026-07-01,Housing and Other Building Construction,Fully Implemented,"https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill\_id=202520260SB79
",rec6O8UAa511bHJXZ,Chapter 512 (2025 Statutes)
Permitting for Wastewater Treatment Systems,North Dakota,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"2025 Legislation creates new rules for licensing, permitting, and inspecting wastewater treatment (septic) systems, with the Department of Environmental Quality (DEQ) having exclusive authority to adopt and enforce these regulations. 

Key provisions include: 
- Mandating that individuals must be licensed to install septic systems (with an exception for homeowners working on their own property), establishing standards for system installation and inspection, and creating a process for appealing permit decisions. 
- The bill empowers the DEQ to issue licenses, set technical standards, and impose civil penalties for violations, with penalties ranging from $5,000 to $12,500 depending on the nature of the infraction. 
- Public health units will be required to conduct inspections within one business day of receiving a request and can enter cooperative agreements with local governments for these services. 
- The legislation also appropriates $99,500 to the DEQ for implementing these new regulations and requires the department to provide a report to the legislative management by August 1, 2026. 
- Additionally, the bill repeals previous sections of code related to the onsite wastewater recycling technical committee, streamlining the regulatory approach to these systems.
",2025-04-23,,Water,Unknown,"https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo2267.html
",rectmhoM8orBX4p7f,SB2267
Reorganizing Permitting Appeals Bodies,Michigan,"Shift Culture,Change Decision-Making Level",Action,Reorganization or Creation of New Government Offices,"Eliminated the Environmental Permit Review Commission (EPRC) and the Environmental Review and Reuse Commission (ERRC), which were administrative bodies that heard appeals of EGLE permitting decisions. Their functions were transferred to other parts of state government, removing these intermediate appeal bodies from the permitting process and streamlining the appeals pathway.
",2024-07-18,2024-09-17,General,Unknown,"https://www.michigan.gov/whitmer/news/state-orders-and-directives/2024/07/18/executive-order-2024-5-executive-reorganization

",recGRNCkE9EPtl2td,Executive Order 2024-5
CT ezFile Portal,Connecticut,Utilize Data and Technology,Tool,Dashboard/Portal,"ezFile can currently be used for:
- Stormwater Registrations (Construction, Industrial and No Exposure)
- Underground Storage Tank Notifications
- Boating and Fishing Permits and Registrations
- Radiation (DTX and RMI)
- Air Emissions Inventory and Compliance Reporting (EMIT)
- Waste Transportation (Hazardous Waste, Non-Hazardous Waste, Biomedical Waste and Emergency Responder/Spill)
- Aquatic Pesticide Permitting (New Permit Applications and Annual Re-Introductions)
- Coastal Permit Applications (Certificate of Permission and Structures, Dredging & Fill / Tidal Wetlands)
- Natural Diversity Data Base Review Requests (NDDB Requests) and Site Assessments

Built on Microsoft .NET with integrations to IBM Enterprise Content Management, ESRI GIS mapping, and Melissa address verification, ezFile provides 24/7 availability, real-time processing, pre-populated dropdown menus, electronic fee payment, and template functionality for repeat applications.
",,,General,Partially Implemented,"https://filings.deep.ct.gov/deepportal/
",,
Creating the Housing Accountability and Production Office,Oregon,"Change Decision-Making Level,Set Projects up for Success,Shift Culture,Building the Permitting Workforce",Action,"Applicant Support,Other","Before Chapter 110 (2024 Laws), developers encountering unresponsive local permitting had no formal state-level recourse outside of Land Use Board of Appeals proceedings. The Housing Accountability and Production Office (HAPO) filled that gap by creating a dedicated state office empowered to receive developer complaints and engage directly with local governments on housing production compliance. 
",2024-04-17,2024-06-06,"Housing and Other Building Construction,General",Partially Implemented,"https://olis.oregonlegislature.gov/liz/2024r1/Measures/Overview/SB1537
",reckO9nDbCjnT8yAC,"Chapter 110, 2024 Laws / SB 1537 (2024)"
Incorporating Kit Homes into Regulatory Framework,Washington,Promote Certainty in Permitting Process,Action,Regulatory Change,"WA Chapter 41, 2026 Laws (Concerning the Creation of Building Codes for Kit Homes) establishes a new category of building codes specifically for kit-homes, explicitly defines kits homes and instructs the State Building Code Council to develop rules for them by March 31, 2027.
",2026-03-14,2026-06-11,Housing and Other Building Construction,Partially Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5552-S.PL.pdf
",recllYrJGo2EQTjqI,"	Chapter 41, 2026 Laws"
Requiring Cumulative Impact Assessments for Permits in EJ Communities,Connecticut,Benefits for Nature/Communities,Action,Other,"Under CT's 2023 Environmental Justice law, the Department of Energy & Environmental Protection (DEEP) can develop regulations that will enable new **[cumulative impacts](https://portal.ct.gov/deep/environmental-justice/environmental-justice-law-regulations-development)** assessments. The new change allows DEEP to impose permit conditions or even deny permits to applicants seeking expansion or construction of their facilities. 
",2023-06-23,2025-12-01,General,Fully Implemented,"https://www.cga.ct.gov/2023/act/pa/pdf/2023PA-00202-R00SB-01147-PA.pdf
",receaaKiOK3Pw3zau,Public Act 23-202
Standardizing Permitting for All Housing,Washington,Promote Certainty in Permitting Process,Action,Regulatory Change,"The 2025 legislative session of Washington took action to standardize building permits in counties and cities planning under the Growth Management Act (GMA). One law prohibits cities planning under the GMA from requiring a 'change of use' permit for buildings in residential zones being converted to residential use and makes unchanged portions of a building that were used for residential purposes and permitted exempt from current Energy Code requirements. Another law clarifies the definition of project permit to explicitly exclude building permits, this is intended to make application requirements and deadlines clearer for all applicants and cities planning under the GMA.
","2025-05-07,2025-04-21",2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1757.PL.pdf

https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1935-S.PL.pdf

","recKNweCojijusxbX,rec8kSMUZzRIk51MI","Chapter 203, 2025 Laws,Chapter 102, 2025 Laws"
Environmental Permitting Tracker,Pennsylvania,"Utilize Data and Technology,Shift Culture,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"PA DEP now allows the public to track the status of any new permit application. The tracker provides an estimated completion date for each step in the review process.
",,2025-02-03,General,Partially Implemented,"https://www.pa.gov/services/dep/track-an-environmental-permit-application
",,
Creating an Office to Drive Regulatory Modernization,Virginia,"Change Decision-Making Level,Eliminate Permits/Permitting,Consolidate or Eliminate Steps",Action,"Reorganization or Creation of New Government Offices,Regulatory Change","Created in June 2022, the Office of Regulatory Management has drove the Governor's regulatory modernization agenda. According to the Youngkin Administration, the Office's efforts reduced 50,000 regulatory requirements.

ORM was also responsible for the development of VPT, the statewide permit tracking platform.

We have not been able to determine the status of this office under Governor Spanberger.
",2022-06-30,2022-06-30,General,Unknown,"https://townhall.virginia.gov/EO-19-Development-and-Review-of-State-Agency-Regulations.pdf
",recTmg6TnTmFg07su,EO 19 (2022)
Establishing the ExpressNY Initiative,New York,Shift Culture,Action,Permit Cataloging/Mapping,"Establishes a Statewide effort to identify and eliminate outdated regulations and streamline government operations, with an initial agency review identifying nearly 100 regulations for reform or elimination. Includes public portal for citizen submissions and appointment of an Associate Director of Regulatory Reform in the Executive Chamber, targeting housing/infrastructure development, small business requirements, and service delivery processes.
",,,General,Partially Implemented,"https://www.governor.ny.gov/news/governor-hochul-announces-express-ny-new-statewide-effort-streamline-regulations-and-improve
",,
"Establishing the Streamlining Permitting, Efficiency and Economy Development (SPEED) Council",Idaho,"Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Building the Permitting Workforce",Action,"Regulatory Change,Reorganization or Creation of New Government Offices","A 2025 executive order by Governor Little established the Streamlining Permitting, Efficiency, and Economic Development (SPEED) Council. The SPEED Council is both responsible for coordinating the permitting of major economic development projects in the state and for streamlining permitting more broadly.
",2025-01-24,2025-01-24,General,Fully Implemented,"https://gov.idaho.gov/pressrelease/gov-little-signs-speed-act-to-further-streamline-state-permitting/
",reciof6qeZU5bi72m,"EO 02, 2025"
Eliminating off-street parking requirements for smaller housing developments,Connecticut,Change Decision-Making Level,Action,Regulatory Change,"HB 8002, signed in 2025 eliminates off-street parking requirements for housing developments with less than 16 units.

A municipality may impose minimum parking requirements on residential developments exceeding 16 dwelling units, but developers must be permitted to submit a ""parking needs assessment."" The approving commission or zoning officer — shifting authority back to the municipality — must then cap parking as a condition of approval at no more than one space per studio or one-bedroom unit and two spaces per larger unit, or at whatever number the needs assessment recommends, whichever yields the lower off-street parking requirement.
",2025-11-26,2026-01-01,Housing and Other Building Construction,Unknown,"https://ctmirror.org/2025/11/26/hb-8002-housing-bill-lamont-law/
",recSbNKbk0BtBTuPv,HB 8002
Standardizing the review of new rules and regulations (including for permitting),Kansas,"Eliminate Permits/Permitting,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"Under a 2022 law, every KS agency that issues rules and regulations must review all of its adopted rules on a five-year cycle. For each one, the agency must tell the Joint Committee whether the rule is still necessary to implement and administer state law, or whether it can be revoked. The bill also created a streamlined process for revoking any rule the review flags as no longer needed.
",2022-04-25,2022-04-25,General,Fully Implemented,"https://www.billtrack50.com/billdetail/1279955
",recdGeeEH2uy7KA68,Chapter 61 (2022 Laws)
Removing the Requirement to Adopt Comprehensive Zoning Ordinances,West Virginia,Shift Culture,Action,Regulatory Change,"West Virginia Chapter 65, Acts, Regular Session, 2024 removes the requirement for counties to draft and adopt comprehensive zoning ordinances in their development plans.
",2024-03-22,2024-06-05,Housing and Other Building Construction,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2024_SESSIONS/RS/bills/sb530%20intr.pdf

",recocAXfzUYAAK2p5,"Chapter 65, Acts, Regular Session, 2024"
Resources for Applicants Navigating State Environmental Permitting,Michigan,Set Projects up for Success,Action,Written Resource,"EGLE offers one-on-one compliance and permitting assistance to businesses, municipalities, and developers through a dedicated hotline (800-662-9278), personalized permitting checklists (including for farms and schools), and a library of guidance documents, fact sheets, and training workshops.
",,,"General,Other,Clean Energy,Housing and Other Building Construction",Fully Implemented,"Homepage: 
https://www.michigan.gov/egle/regulatory-assistance

MI Guide to Environmental Regulations:
https://www.michigan.gov/egle/regulatory-assistance/compliance-assistance/environmental-regulations-guide

General Applicant Checklist:
https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Forms/ESD/EQP3580-Permit-Information-Checklist.pdf?rev=7f840cdd70b6446f92ae1a4cf5ce6235&hash=FF089F5A273086E0FD36A09751AEA6E9

Checklist for Farming Operations:
https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/ESD/Permit-Coordination/Permit-Checklist-Farms.pdf

Checklist for Schools:
https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Programs/ESD/Permit-Coordination/Permit-Checklist-schools.pdf?rev=3bdc9d076c2c42a78ae2e79698f36b57&hash=7FAE898196B18B0ACAF01B20070F5D3A

",,
Establishing a One Stop Permitting Process,West Virginia,"Change Decision-Making Level,Utilize Data and Technology",Action,"Dashboard/Portal,Regulatory Change","West Virginia Chapter 134, Acts, Regular Session, 2025 instructs the secretary of the West Virginia Department of Administration to lead the various permitting agencies in the implementation of a One-Stop-Shop Permitting Program - a dashboard for obtaining and renewing all permits. It also outlines information on permitting that all relevant  agencies are required to share with the secretary and requires alternative paper-based application with no penalty for users. 
",2025-04-12,2025-04-10,General,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/hb2002%20sub2%20enr.pdf
https://governor.wv.gov/article/governor-patrick-morrisey-announces-first-phase-statewide-one-stop-shop-permitting-portal

",recJBbh6QucevDW7C,"West Virginia Chapter 134, Acts, Regular Session, 2025"
Reinstating and Improving the Energy Security Task Force ,Alaska,Change Decision-Making Level,Action,Reorganization or Creation of New Government Offices,"Reinstates the Alaska Energy Security Task Force with a revised membership and reporting structure, comprised of 15 members including commissioners from DEC and DNR, the Alaska Energy Authority, and chaired by the Lieutenant Governor. 

The Task Force was directed to assess Alaska's current energy portfolio, identify risks and opportunities, and develop solutions centered on affordability, reliability, and security. It was also tasked with recommending policies, regulatory changes, funding strategies, a public energy data portal, and a statewide energy goal with an actionable plan to achieve it.
",2023-03-22,2023-02-23,Clean Energy,Fully Implemented,"https://gov.alaska.gov/admin-orders/administrative-order-no-345-amended/

",reccdlWEeqDNT1wAT,Administrative Order No. 345 - Alaska Energy Security Task Force 
Prioritizing Efficient Use of Administrative Resources,Washington,"Shift Culture,Change Decision-Making Level",Action,"Regulatory Change,Reorganization or Creation of New Government Offices","WA Chapter 98, 2026 Laws (Improving Efficiency in Appeals to the Pollution Control Hearings Board) allows appeals of environmental permits to be heard by alternative arrangements of the Pollutions Control Hearing Board ( PCHB) if both the appealing party and the PCHB consent.
",2026-03-18,2026-06-11,Other,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/2426.PL.pdf
",rechkptoREuK6m4jY,"	Chapter 98, 2026 Laws"
Expanding the Use of General Permits,Florida,Promote Certainty in Permitting Process,Action,Regulatory Change,"Florida Chapter 2025-165 grants a general permit for the replacement of an existing onsite sewage treatment and disposal system with a Distributed Wastewater Treatment System (DWTS) / Unit (DWTU) if it is commonly owned and operated by the permittee.

A general permit is a permit issued by rule of the DEP. A person may proceed under a general permit 30 days after notifying the DEP, without any further action by the DEP.
",2025-06-20,2025-07-01,Water,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2025/796/BillText/er/PDF
",recCt7qZZQY3G3bmU,Chapter 2025-165
 Creating a Temporary Voluntary County-level Siting Pathway for Qualifying Renewable Energy Facilities ,Oregon,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"Chapter 12, (2026 Laws) removed the Energy Facility Siting Council (EFSC) site certificate requirement for qualifying renewable energy facilities, allowing developers to seek county-level land use approval instead. 
This bypassed a process that historically took one to three years for projects needing to meet federal tax credit construction deadlines. 
The county pathway is voluntary for both developers and host jurisdictions, and all other local permitting requirements remain in place.
",2026-03-05,2026-06-05,"Clean Energy,General",Fully Implemented,"https://www.dwt.com/blogs/energy--environmental-law-blog/2026/04/oregon-hb-4031-local-permitting-renewable-energy

https://olis.oregonlegislature.gov/liz/2026R1/Measures/Overview/HB4031 
",recBusC54vtE8Kghe,"Chapter 12, 2026 Laws / HB 4031 (2026)"
Ensuring Residential Development in Qualifying Parcels,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"Florida Chapter 2026-84 provides that a local government must permit a qualifying parcel to be developed with residential uses. The proposed development of a qualifying parcel must be administratively approved, and no further action by the governing body of a local government is required. 

Qualifying parcels are plots of land adjacent to other areas zoned for residential use. They must also be environmentally impacted, meaning contaminants or pollutants have been detected on the land above certain thresholds or the land has been designated a brownfield area.


",2026-05-21,2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/1434/BillText/er/PDF

",recikrjCFOwsRxLBN,Chapter 2026-84
Permitting Consolidation and Institutional Realignment,Minnesota,"Shift Culture,Change Decision-Making Level",Action,"Reorganization or Creation of New Government Offices,Regulatory Change","- Replacing Minnesota’s Power Plant Siting Act (Minn. Stat. Ch. 216E) with a new “Minnesota Energy Infrastructure Permitting Act” (Minn. Stat. Ch. 216I) that consolidates permitting requirements for energy facilities currently found in multiple existing statutes and rules into one new chapter
- Moving the Environmental Review and Analysis Staff (EERA) from the Minnesota Department of Commerce to the Commission (effective July 1, 2025)

",2024-05-24,2025-07-01,"Clean Energy,General",Fully Implemented,"https://www.fredlaw.com/alert-minnesota-legislature-passes-historic-permitting-reform-bill
",recKCYCmzHQdE6QQQ,HF 5247 / SF 4942
Requiring Ministerial and CEQA-Exempt Approval of Affordable Housing on Religious and Higher Education Lands,California,"Consolidate or Eliminate Steps,Change Decision-Making Level,Set Projects up for Success",Action,Regulatory Change,"Chapter 781 (2023 Statutes) allows religious institutions and nonprofit colleges or universities to build affordable housing on their land by right and without rezoning, irrespective of the current zoning designation of the property. This law eliminates the rezoning and conditional use permit requirements, converting approval to a ministerial administrative process with a statutory timeline. 
In addition, the state law would override local zoning authority for this specific land use category, removing local discretion to deny qualifying affordable housing proposals on religious or educational institution land. 
By removing the zoning barrier upfront, faith and non-profit higher education institutions can proceed directly to building permits without prior land use approval. 
",2023-10-11,2024-01-01,Housing and Other Building Construction,Fully Implemented,"https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill\_id=202320240SB4
",recBJs89yqcvoEv7b,Chapter 781 (2023 Statutes)
Expediting Permitting of Agricultural Enclaves,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Written Resource,"Florida Chapter 2026-34 allows the owner of an agricultural enclave may apply for certification of the land as an agricultural enclave. If the local government does not approve or deny certification within 90 days, the parcel must be certified as by default. If the application is denied, the governing body of the local government must issue its decision in writing with detailed findings. It also prohibits a local government from enacting or enforcing a law or regulation for an agricultural enclave which is more burdensome than for other types of applications for comparable uses or densities. 
",2026-04-20,2026-07-01,Other,Not Started,"https://www.flsenate.gov/Session/Bill/2026/686/BillText/er/PDF
",recIrhNyatS83Nt8w,Florida Chapter 2026-34
AccessDEQ Portal,North Carolina,"Utilize Data and Technology,Promote Certainty in Permitting Process",Tool,"Dashboard/Portal,Applicant Support","AccessDEQ is DEQ’s umbrella online platform and guidance hub that centralizes information on environmental permits, many of which can now be applied for and tracked electronically. It is being incrementally expanded to include more permit types and online workflows to reduce processing time and improve transparency.
",,,General,,"https://portal.deq.nc.gov/login
",,
Increasing Efficiency and Predictability in the Processing of State issued permits,Washington,"Shift Culture,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Utilize Data and Technology",Action,Other,"WA EO 25-03 (Improving Transparency and Building Efficiency in the State's Permitting and Licensing processes) directs all permitting agencies to submit to the Office of the Governor information on their permitting processes. This includes data such as the types of permits, the methods with which applications are received, the authority governing the length of time in which the agency must process applications, the agency's analysis of the speed with which it could consistently process each type of permit and other relevant information. After consultation with the Office of the Governor each agency shall establish efficient and appropriate application processing deadlines for each type of permit and make the updated deadlines public
",2025-01-15,2025-01-15,General,Fully Implemented,"https://data.wa.gov/Performance-Measures/Agency-Results-for-Executive-Order-25-03/bik6-rzhx/about_data

https://governor.wa.gov/sites/default/files/exe_order/25-03%20-%20Permit%20Fees.pdf

",rec73nU6fbeLdKwaw,EO 25-03
Establishing comprehensive plans for zoning predictability,Wisconsin,"Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"- **Mandatory rezoning in designated areas.** If a city or village receives a rezoning request for residential development in an area identified in its comprehensive plan as projected for residential use, the municipality generally must grant the request within 60 days.
- **Least restrictive fallback.** If the local comprehensive plan does not meet the bill’s new requirements, the land must be rezoned to the requested classification or to the least restrictive zoning classification allowed.
- **New planning requirements.** Municipal comprehensive plans must identify where residential growth is expected and specify minimum and maximum density levels in five-year increments over a 20-year horizon.
- **Zoning must match planning.** The bill pushes cities and villages to make their zoning ordinances consistent with those comprehensive plans, so permitting decisions cannot diverge as easily from the plan.
- **More predictability for developers.** The practical permitting effect is to reduce case-by-case opposition and delay for residential projects that conform to the plan, because the approval path becomes more automatic.
",2026-04-02,2028-01-01,"General,Housing and Other Building Construction",Partially Implemented,"https://docs.legis.wisconsin.gov/2025/proposals/ab453
",rec8u3FG9PTmvk0Tz,2025 Wisconsin Act 173
Establishing the Pro-Housing Communities Certification Program,New York,"Shift Culture,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Other,"Creates a voluntary certification program recognizing municipalities that adopt pro-housing policies; localities must earn the certification to qualify for key grants including the Downtown Revitalization Initiative and Public Transportation Modernization Enhancement Program.
",,,Housing and Other Building Construction,Fully Implemented,"https://esd.ny.gov/pro-housing-community-supply-funds-program#objective-
",,
Amending the Maximum Fee due with a Permit Application,South Dakota,Promote Certainty in Permitting Process,Action,Regulatory Change,"SD 2025 Session Laws Chapter 188 (An Act to Amend the Maximum Fee Limit Due When Applying for a County Drainage Permit) requires any board or commission to increase the maximum cost of a permit fee for applicants for a drainage board from $100 to $500 and clarifies that this fee is paid with the application.
",2025-03-13,2025-07-01,Water,Fully Implemented,"https://mylrc.sdlegislature.gov/api/Documents/283444.pdf

",recV02qfw2img8VQN,"Chapter 188, 2025 Laws"
Requiring Pre-Application Evaluation of Data Center Water Usage,Minnesota,Set Projects up for Success,Action,,"Data Center developers in Minnesota must now report to the MN DNR earlier in the planning process on how much water their project is projected to use.

Data centers that use more than 100 million gallons of water a year must consider using water conservation technology. This includes closed-loop systems that recycle water for cooling.
",2025-06-09,,Data Centers,Fully Implemented,"https://www.lwvumrr.org/blog/minnesota-data-center-law-became-law-june-14-2025
",recSfKM2oitE3RSMk,HF 16 / SF 19
Expediting Issuance of Development Permits,Florida,"Promote Certainty in Permitting Process,Set Projects up for Success,Shift Culture",Action,"Regulatory Change,Applicant Support","Florida Chapter 2026-64 takes several actions to ensure the timely approval of development permits. It requires local government to offer pre-application consultation services ; give a final decision on applications within 45 days with partial refunds if no response is given in 30 days and automatic approval if there is no communication 10 days after the deadline.
",2026-05-07,2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/927/Analyses/h0927z1.IAS.PDF

",recAh69ZUo5P05U6m,Chapter 2026-64
Increasing Efficiency in Division of Water Resources Processes ,Colorado,Consolidate or Eliminate Steps,Action,Regulatory Change,"A 2025 law on water well permitting did the following: 
- Extended well construction timeline from 1 year to 2 years after permit issuance
- Removed obsolete permitting steps and requirements for non-Denver Basin bedrock aquifer wells in designated basins
- Eliminated final permitting requirements for certain non-Denver Basin bedrock wells
- Streamlined the beneficial use determination process for water wells
",2025-06-03,2025-06-03,Water,Fully Implemented,"https://leg.colorado.gov/bills/hb25-1014
",rechfo2LNwuuTDQmF,HB25-1014 - Increasing Efficiency Division of Water Resources
Bypassing Discretionary Review and CEQA for Duplexes and Lot-Splits on Single-Family Zoned Parcels,California,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Change Decision-Making Level",Action,Regulatory Change,"Chapter 162 (2021 Statutes) converted California's existing prohibition on duplexes and lot-splits into a ministerial entitlement. 
The state law overrides local single-family zoning authority, which removes local discretion to deny qualifying applications on the basis of use or density. 
A property owner meeting the eligibility criteria can submit an application to rezone their parcel, and the local agency must approve it without a public hearing or California Environmental Quality Act (CEQA) review. 

",2021-09-16,2022-01-01,Housing and Other Building Construction,Fully Implemented,"https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill\_id=202120220SB9
",recrQ5KpPHBZAdOH0,Chapter 162 (2021 Statutes)
